"X","Y","Species","Diam","Field","PLOT","Growth.mm.yr"
"1475889.603","4454126.306","PIHA","3.5","2","1","22.28"
"1475889.845","4454126.624","PIHA","1.1","2","1","7.58"
"1475890.088","4454126.942","FROR","1.3","2","1","2.33"
"1475890.33","4454127.261","PIPE","2.8","2","1","12.83"
"1475890.572","4454127.579","ACMO","0.8","2","1","0.33"
"1475890.815","4454127.897","PIPA","2.8","2","1","14.58"
"1475891.057","4454128.215","QUPU","1.1","2","1","2.33"
"1475891.299","4454128.534","PIPA","2.8","2","1","19.83"
"1475889.285","4454126.548","FROR","0.7","2","1","3.73"
"1475889.527","4454126.866","ACMO","0.4","2","1","1.00"
"1475889.769","4454127.185","PIHA","2.3","2","1","9.68"
"1475890.012","4454127.503","PIHA","2.5","2","1","9.68"
"1475890.254","4454127.821","FROR","0.9","2","1","1.33"
"1475890.496","4454128.139","QUPU","0.8","2","1","0.67"
"1475890.739","4454128.458","PIPA","2.8","2","1","17.03"
"1475890.981","4454128.776","PIPA","3.2","2","1","19.48"
"1475888.967","4454126.79","FROR","0.6","2","1","1.63"
"1475889.209","4454127.109","PIHA","2.5","2","1","15.63"
"1475889.451","4454127.427","PIHA","1.7","2","1","8.98"
"1475889.693","4454127.745","ACMO","0.6","2","1","0.93"
"1475889.936","4454128.063","FROR","1.5","2","1","1.63"
"1475890.178","4454128.382","PIHA","2.4","2","1","6.88"
"1475890.42","4454128.7","PIPA","2.5","2","1","18.43"
"1475890.663","4454129.018","QUPU","1.1","2","1","3.03"
"1475888.648","4454127.032","PIPE","3","2","1","22.98"
"1475888.891","4454127.351","QUPU","1.6","2","1","0.00"
"1475889.133","4454127.669","PIPE","3","2","1","10.73"
"1475889.375","4454127.987","PIPA","2.2","2","1","19.83"
"1475889.617","4454128.306","ACMO","0.8","2","1","0.00"
"1475889.86","4454128.624","PIPA","1.7","2","1","10.03"
"1475890.102","4454128.942","FROR","1.2","2","1","0.23"
"1475890.344","4454129.261","FROR","1.8","2","1","4.08"
"1475888.33","4454127.275","QUPU","1.4","2","1","5.83"
"1475888.572","4454127.593","QUPU","0.6","2","1","5.83"
"1475888.815","4454127.911","PIPE","2.4","2","1","14.23"
"1475889.057","4454128.23","QUPU","0.6","2","1","4.67"
"1475889.299","4454128.548","ACMO","0.6","2","1","0.33"
"1475889.541","4454128.866","FROR","1.1","2","1","1.00"
"1475889.784","4454129.185","PIPE","2.5","2","1","14.93"
"1475890.026","4454129.503","PIPE","1.2","2","1","7.58"
"1475888.012","4454127.517","FROR","0.9","2","1","1.98"
"1475888.254","4454127.835","ACMO","0.4","2","1","1.28"
"1475888.496","4454128.154","QUPU","0.3","2","1","0.93"
"1475888.739","4454128.472","FROR","1.1","2","1","1.28"
"1475888.981","4454128.79","QUPU","1.4","2","1","4.43"
"1475889.223","4454129.108","PIPE","2.4","2","1","14.58"
"1475889.465","4454129.427","PIPA","2.3","2","1","18.43"
"1475889.708","4454129.745","QUPU","1.8","2","1","11.43"
